name,stars,forks,watchers,open_issues,primary_language,languages,created_at,updated_at
jax,31481,2909,31481,1952,Python,"['Python', 'C++', 'Starlark', 'Jupyter Notebook', 'Shell', 'C', 'MAXScript', 'Makefile']",2018-10-25T21:25:02Z,2025-03-03T21:28:49Z
awesome-docker,31427,3039,31427,4,,[],2014-09-21T17:01:48Z,2025-03-03T21:25:16Z
graphql-engine,31383,2787,31383,2379,TypeScript,"['TypeScript', 'Haskell', 'Rust', 'JavaScript', 'Go', 'Python', 'C', 'CSS', 'Shell', 'SCSS', 'MDX', 'C++', 'PLpgSQL', 'Makefile', 'HTML', 'Nix', 'Dockerfile', 'Just', 'Java', 'HCL', 'Roff', 'TSQL', 'Ruby', 'Procfile']",2018-06-18T07:57:36Z,2025-03-03T20:16:30Z
awesome-php,31364,5100,31364,59,,[],2013-11-26T03:14:19Z,2025-03-03T13:07:41Z
detectron2,31360,7589,31360,561,Python,"['Python', 'Cuda', 'C++', 'Shell', 'Dockerfile', 'CMake']",2019-09-05T21:30:20Z,2025-03-03T19:02:00Z
nps,31346,5688,31346,513,Go,"['Go', 'Shell', 'Makefile']",2018-11-04T13:22:51Z,2025-03-03T16:45:08Z
C-Plus-Plus,31325,7322,31325,22,C++,"['C++', 'CMake', 'Python', 'Dockerfile']",2016-07-16T10:19:45Z,2025-03-03T21:41:41Z
jq,31311,1608,31311,464,C,"['C', 'M4', 'Shell', 'Yacc', 'jq', 'C++', 'Makefile', 'Lex', 'Python', 'Dockerfile']",2012-07-18T19:57:25Z,2025-03-03T19:45:13Z
yew,31279,1434,31279,170,Rust,"['Rust', 'JavaScript', 'Shell', 'Python', 'TypeScript', 'SCSS', 'CSS', 'HTML']",2017-12-16T14:19:02Z,2025-03-03T18:53:33Z
serenity,31167,3205,31167,727,C++,"['C++', 'JavaScript', 'HTML', 'CMake', 'Shell', 'C', 'Objective-C++', 'Game Maker Language', 'Python', 'Assembly', 'CSS', 'Objective-C', 'Dockerfile', 'Nix', 'Zig', 'Lua', 'GLSL', 'Makefile', 'NASL']",2018-12-02T19:28:41Z,2025-03-03T18:05:48Z
llvm-project,31158,12854,31158,28791,LLVM,"['LLVM', 'C++', 'C', 'Assembly', 'MLIR', 'Python', 'Fortran', 'Objective-C', 'CMake', 'FIRRTL', 'HTML', 'Starlark', 'Objective-C++', 'HLSL', 'Cuda', 'OCaml', 'SWIG', 'Shell', 'Perl', 'JavaScript', 'Scilab', 'Awk', 'Makefile', 'Jupyter Notebook', 'Emacs Lisp', 'Roff', 'CSS', 'Batchfile', 'Julia', 'TypeScript', 'NASL', 'Vim Script', 'Dockerfile', 'Lua', 'Pawn', 'M', 'GDB', 'Cool', 'Scheme', 'POV-Ray SDL', 'MATLAB', 'Rust', 'TeX', 'AMPL', 'AppleScript', 'Mathematica', 'DTrace', 'Limbo', 'Swift', 'PHP', 'Pascal', 'RPC', 'Mercury']",2016-12-07T09:39:33Z,2025-03-03T21:51:07Z
OpenVoice,31153,3136,31153,238,Python,"['Python', 'Jupyter Notebook']",2023-11-29T12:17:01Z,2025-03-03T21:45:38Z
learnGitBranching,31134,5809,31134,42,JavaScript,"['JavaScript', 'HTML', 'CSS', 'Makefile', 'Dockerfile', 'Shell']",2012-08-13T22:36:09Z,2025-03-03T20:46:41Z
swr,31097,1259,31097,160,TypeScript,"['TypeScript', 'JavaScript', 'Shell']",2019-10-28T18:16:01Z,2025-03-03T21:17:43Z
fairseq,31070,6484,31070,1313,Python,"['Python', 'Cuda', 'C++', 'Cython', 'Lua', 'Shell']",2017-08-29T16:26:12Z,2025-03-03T20:03:52Z
vimrc,31063,7315,31063,12,Vim Script,"['Vim Script', 'Vim Snippet', 'Ruby', 'Shell', 'Python', 'PowerShell', 'CoffeeScript', 'VBScript', 'Lua', 'Makefile', 'CMake', 'Dockerfile', 'Batchfile', 'HTML', 'Haml']",2012-05-29T16:19:29Z,2025-03-03T14:45:18Z
